mixing,contrast,metric,mean_diff,sd,se,ci_lo,ci_hi,paired_signflip_p,d_z
random,D_SWAP_minus_D_rA,rA,-0.00311231,0.0612381,0.00818329,-0.0191516,0.0129269,0.895905,-0.0508231
random,D_SWAP_minus_D_rV,rV,-0.00342238,0.0444527,0.00594024,-0.0150653,0.0082205,0.79776,-0.0769892
random,Y_minus_D_rA,rA,-0.0686988,0.16357,0.0218579,-0.11154,-0.0258573,0.00289986,-0.419997
random,Y_minus_D_rV,rV,-0.0471141,0.106386,0.0142165,-0.0749784,-0.0192497,0.00179991,-0.442858
random,Y_ABLATE_minus_D_rA,rA,-0.0763541,0.169681,0.0226746,-0.120796,-0.0319119,0.00134993,-0.449986
random,Y_ABLATE_minus_D_rV,rV,-0.0473215,0.111357,0.0148806,-0.0764875,-0.0181554,0.00269987,-0.424954
random,Y_ABLATE_minus_Y_rA,rA,-0.00765531,0.0265028,0.00354159,-0.0145968,-0.000713798,0.0340983,-0.288849
random,Y_ABLATE_minus_Y_rV,rV,-0.000207393,0.0184864,0.00247035,-0.00504927,0.00463448,0.933653,-0.0112187
random,Y_HALFALPHA_minus_D_rA,rA,-0.0373827,0.136729,0.0182711,-0.0731941,-0.0015712,0.0456977,-0.273407
random,Y_HALFALPHA_minus_D_rV,rV,-0.034742,0.0942974,0.012601,-0.05944,-0.010044,0.00694965,-0.36843
random,Y_HALFALPHA_minus_Y_rA,rA,0.0313161,0.125842,0.0168164,-0.00164398,0.0642762,0.0663967,0.248852
random,Y_HALFALPHA_minus_Y_rV,rV,0.012372,0.0769477,0.0102826,-0.00778178,0.0325259,0.245638,0.160785
metric,D_SWAP_minus_D_rA,rA,0.00565727,0.058675,0.00784078,-0.00971066,0.0210252,0.733963,0.096417
metric,D_SWAP_minus_D_rV,rV,0.00583944,0.0414287,0.00553614,-0.0050114,0.0166903,0.383381,0.140952
metric,Y_minus_D_rA,rA,-0.0652202,0.188166,0.0251448,-0.114504,-0.0159364,0.0116994,-0.346609
metric,Y_minus_D_rV,rV,-0.0429527,0.123445,0.0164961,-0.075285,-0.0106204,0.0112494,-0.347949
metric,Y_ABLATE_minus_D_rA,rA,-0.073305,0.190701,0.0254834,-0.123253,-0.0233575,0.00529974,-0.384399
metric,Y_ABLATE_minus_D_rV,rV,-0.0430136,0.126313,0.0168793,-0.076097,-0.00993021,0.0130993,-0.340532
metric,Y_ABLATE_minus_Y_rA,rA,-0.00808485,0.0298409,0.00398766,-0.0159007,-0.000269045,0.0446478,-0.270932
metric,Y_ABLATE_minus_Y_rV,rV,-6.09025e-05,0.0201312,0.00269015,-0.00533359,0.00521178,0.984301,-0.00302528
metric,Y_HALFALPHA_minus_D_rA,rA,-0.0455439,0.1183,0.0158085,-0.0765285,-0.0145593,0.00529974,-0.384987
metric,Y_HALFALPHA_minus_D_rV,rV,-0.0374726,0.0825154,0.0110266,-0.0590847,-0.0158605,0.000699965,-0.454128
metric,Y_HALFALPHA_minus_Y_rA,rA,0.0196763,0.131713,0.0176009,-0.0148214,0.054174,0.276336,0.149388
metric,Y_HALFALPHA_minus_Y_rV,rV,0.00548017,0.0812162,0.010853,-0.0157917,0.026752,0.628769,0.0674763
