seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
101,random,D,original_one_sided,1,1,0.568893,0.411271,0.463216,0.997413,0.714533,0.000248292,0.00124579,0.00499313,15088318594308599739
202,random,D,original_one_sided,1,1,0.617695,0.408194,0.117295,0.997994,0.680384,0.00025025,0.00126121,0.00498137,4914822966185049061
303,random,D,original_one_sided,1,1,0.334358,0.298345,0.458724,0.995988,0.717277,0.000257208,0.00126721,0.00501758,4592148954548078428
404,random,D,original_one_sided,1,1,0.611926,0.397755,0.292363,0.997458,0.741196,0.000246917,0.00124263,0.00497792,3352798620045422019
505,random,D,original_one_sided,1,1,0.613256,0.410901,0.326821,0.997931,0.692636,0.000249833,0.00124642,0.00497342,4759851087943297059
606,random,D,original_one_sided,1,1,0.567761,0.384444,0.277663,0.996769,0.712199,0.000245375,0.00124925,0.00497938,7977712089098221410
707,random,D,original_one_sided,1,1,0.605075,0.405199,0.377366,0.996631,0.74484,0.000251625,0.00124433,0.00500767,6626978477444108832
808,random,D,original_one_sided,1,1,0.0543149,0.057648,0.218543,0.996848,0.713348,0.000253,0.00125704,0.00498008,8938853467923338380
909,random,D,original_one_sided,1,1,0.639026,0.464923,0.455796,0.996524,0.732315,0.0002505,0.00125346,0.00497383,7523379821232620433
1010,random,D,original_one_sided,1,1,0.585342,0.391427,0.256855,0.997467,0.747942,0.000249208,0.00125512,0.00500408,6095443981521357002
1111,random,D,original_one_sided,1,1,0.566545,0.451032,0.238102,0.997509,0.0537764,0.000253292,0.00124229,0.00496321,1709130890311390258
1212,random,D,original_one_sided,1,1,0.453934,0.357849,0.329146,0.997629,0.677178,0.000253875,0.00125404,0.00497179,6566218846149515846
1313,random,D,original_one_sided,1,1,0.0911395,0.0720055,0.167389,0.997676,0.716773,0.000246958,0.00123329,0.00495179,5265459889430765273
1414,random,D,original_one_sided,1,1,0.0911465,0.0525631,0.133543,0.998455,0.737877,0.000253708,0.00125592,0.00501025,16757399655768377468
1515,random,D,original_one_sided,1,1,0.150756,0.119377,0.181665,0.996863,0.680445,0.000249792,0.00123833,0.00497154,15553783089522774953
1616,random,D,original_one_sided,1,1,0.550746,0.420698,0.341691,0.995903,0.718462,0.000248542,0.00124025,0.00495483,2925567432917206370
1717,random,D,original_one_sided,1,1,0.278965,0.180038,0.27598,0.997443,0.735461,0.000245875,0.00124546,0.00497533,5315331658029473431
1818,random,D,original_one_sided,1,1,0.230526,0.1681,0.258216,0.996816,0.726757,0.00024875,0.00124833,0.00498092,8503298889816827995
1919,random,D,original_one_sided,1,1,0.666177,0.451103,0.168912,0.996965,0.718618,0.000247792,0.00125738,0.00498883,2554226534663858501
2020,random,D,original_one_sided,1,1,0.058793,0.0387218,0.390387,0.995112,0.757735,0.000247333,0.00124304,0.0049755,412551867755059251
2121,random,D,original_one_sided,1,1,0.390749,0.318655,0.278798,0.996323,0.744723,0.000244667,0.00124421,0.00498804,6823530061885106871
2222,random,D,original_one_sided,1,1,0.404112,0.308056,0.350257,0.997236,0.698665,0.00024525,0.00125012,0.00496062,9549826686038314684
2323,random,D,original_one_sided,1,1,0.352242,0.289905,0.230302,0.997762,0.730657,0.000246417,0.00123871,0.0049785,12942702738109462900
2424,random,D,original_one_sided,1,1,0.659384,0.43008,0.149288,0.998278,0.743681,0.000253083,0.00125804,0.00500662,1924404037196765821
2525,random,D,original_one_sided,1,1,0.738038,0.464509,0.134412,0.998946,0.734361,0.000251625,0.00123646,0.00497808,2742544841774463500
2626,random,D,original_one_sided,1,1,0.069752,0.0752892,0.245245,0.996879,0.691586,0.000250292,0.00124533,0.00497017,620250434444110995
2727,random,D,original_one_sided,1,1,0.0431082,0.0634398,0.293554,0.997964,0.623234,0.000256042,0.00125113,0.00496833,2022552238131814483
2828,random,D,original_one_sided,1,1,0.509861,0.349922,0.354985,0.996065,0.729663,0.000247625,0.00124596,0.00495567,3998001521368178311
2929,random,D,original_one_sided,1,1,0.63469,0.435062,0.407033,0.996471,0.740373,0.000247708,0.00123896,0.00496912,9683457375107194807
3030,random,D,original_one_sided,1,1,0.111655,0.101263,0.243209,0.998106,0.718567,0.000256333,0.00125888,0.00498538,10071646235806721820
3131,random,D,original_one_sided,1,1,0.546394,0.340629,0.213668,0.997426,0.697626,0.000250375,0.00125229,0.00499604,9229365724962856925
3232,random,D,original_one_sided,1,1,0.0920929,0.103798,0.303855,0.996316,0.694234,0.000254417,0.00125358,0.00499479,13671435268397155858
3333,random,D,original_one_sided,1,1,0.103996,0.0970995,0.348763,0.996053,0.685725,0.000247542,0.00124483,0.00497408,2059749156295377661
3434,random,D,original_one_sided,1,1,0.0629002,0.0671501,0.263148,0.997512,0.75856,0.000250417,0.00124592,0.00498421,7553414289207416667
3535,random,D,original_one_sided,1,1,0.0430219,0.0655402,0.384438,0.997363,0.521099,0.000250667,0.00124671,0.00498771,14471077341508696832
3636,random,D,original_one_sided,1,1,0.297185,0.244605,0.320682,0.996002,0.652032,0.000253375,0.00124604,0.00496229,16185903053348071721
3737,random,D,original_one_sided,1,1,0.335017,0.245956,0.455878,0.996467,0.734909,0.000250583,0.00124825,0.00498692,5416711868088930675
3838,random,D,original_one_sided,1,1,0.263737,0.176468,0.256591,0.997173,0.797622,0.000248417,0.00125117,0.00497542,3366072728673555250
3939,random,D,original_one_sided,1,1,0.337877,0.250725,0.240764,0.997017,0.755109,0.000245333,0.00124696,0.00498671,13885551371623210596
4040,random,D,original_one_sided,1,1,0.307977,0.221128,0.262227,0.996319,0.711371,0.000250042,0.00124471,0.00497942,13341758029431325002
