mixing,condition,rA_mean,rV_mean,rate_mean,repeat1,repeat5,repeat20,pair_x_corr_post,pair_q_corr_post
random,D,0.358031,0.258118,0.284835,0.000250311,0.00124862,0.00498106,0.997191,0.702845
random,Y,0.289332,0.211004,0.290489,0.000250472,0.00124956,0.00498547,0.998956,0.713287
random,D_SWAP,0.354919,0.254696,0.284953,0.000250439,0.00124938,0.0049809,0.997186,0.706706
random,Y_ABLATE,0.281677,0.210797,0.240977,0.000250472,0.00124956,0.00498547,0.965115,0.680028
random,Y_HALFALPHA,0.320649,0.223376,0.458233,0.000250472,0.00124956,0.00498547,0.998086,0.77016
metric,D,0.354982,0.25381,0.284932,0.499717,0.968552,0.999666,0.997154,0.703965
metric,Y,0.289762,0.210857,0.290188,0.500124,0.968749,0.999832,0.999043,0.713577
metric,D_SWAP,0.360639,0.25965,0.284776,0.499719,0.968553,0.999666,0.997148,0.699567
metric,Y_ABLATE,0.281677,0.210797,0.240977,0.500124,0.968749,0.999832,0.965166,0.680551
metric,Y_HALFALPHA,0.309438,0.216338,0.458064,0.500124,0.968749,0.999832,0.998254,0.771426
