offset,parity_even_mean,parity_odd_mean,n_edges_mean,density_mean,components_mean,degree_mean_mean,degree_sd_mean,strength_mean_mean,strength_sd_mean,edge_weight_min_mean,edge_weight_max_mean,edge_weight_mean_mean,edge_weight_cv_mean,global_clustering_mean,A_assort_unweighted_mean,V_assort_unweighted_mean,A_assort_weighted_mean,V_assort_weighted_mean,mean_abs_dA_mean,mean_abs_dV_mean,weighted_abs_dA_mean,weighted_abs_dV_mean,M_DY_minus_D_rA_mean,M_DY_minus_D_rV_mean
0,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.005857042702751582,0.0038954899080100003,0.005854885032158217,0.0038706995303583332,0.22137995541400002,0.18727909110283333,0.22137882924608332,0.18728423451858334,-0.027362133333333344,-0.014021316666666664
1,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.005757376429631583,-0.0014109590810825834,0.005820272249629916,-0.0013837170457649166,0.22106209517625,0.18834932525333334,0.22105235957658334,0.18834869132275,-0.06458104166666669,-0.03775089166666666
2,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.0017755458615438169,-0.001656846585715,0.0017885773566817499,-0.0017094199214525002,0.22117065236175001,0.1883283047070833,0.22116925349366667,0.18833263321266666,-0.02562353333333334,-0.013481875000000004
3,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.0016855658173775,-0.009638474719580833,0.0016302016774266666,-0.009536092817213333,0.22147293236808333,0.1891299333185,0.22148302470966666,0.18912016932066666,-0.05931708333333333,-0.04114614999999999
4,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.0011771808131164165,-0.0045580308631925,0.0011831967934035,-0.004573445348676666,0.22155138301641666,0.18810717069458335,0.22154780905783333,0.18810896844400002,-0.024958624999999995,-0.016771008333333334
5,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,-0.0015182096624034166,0.00765349485491375,-0.0015521109365953334,0.0075976335855935,0.22179959990641665,0.18759003398291665,0.22180170578083333,0.18760043881916666,-0.021802500000000002,-0.008987933333333338
6,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.004713080186112759,-0.001426820751403333,0.004679720276835908,-0.001447463957449167,0.2211016803578333,0.18813767776925003,0.22111165411408332,0.18813951530058334,-0.05708214166666666,-0.03572495
7,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,1.9844719689166354e-05,-0.0006602673074425832,-7.072297755916666e-05,-0.0006755453596,0.2216251157703333,0.18795239904916664,0.22163574736549999,0.18795557625774997,-0.019704775000000004,-0.014330191666666678
8,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.005590213748202084,0.0081023053975025,0.005620361651572416,0.008093558550119166,0.22103322436908335,0.18701376426516667,0.22103008221499998,0.18701315266916665,-0.021317949999999992,-0.013297074999999997
9,5993.5,6006.5,4000.0,0.000500125031258,1.0,2.0,0.0,12000.0,0.0,5948.333333333333,6051.666666666667,6000.0,0.008611111111108334,0.0,0.0003277504496212498,0.0002762001138008336,0.0003383130770676663,0.00019771503476333292,0.22155824568416668,0.18798212103758336,0.22155452590808333,0.1879894600045,-0.02401629999999999,-0.011672466666666681
