contrast,metric,mean_diff,sd,se,ci_lo,ci_hi,paired_signflip_p,d_z
dyadic_at_random,rA,-0.0515487,0.0608935,0.0430582,-0.135943,0.0328454,0.504925,-0.846538
dyadic_at_metric,rA,-0.0515487,0.0608935,0.0430582,-0.135943,0.0328454,0.504925,-0.846538
metric_at_directed,rA,0,0,0,0,0,1,0
metric_at_dyadic,rA,0,0,0,0,0,1,0
2x2_interaction_rA,rA_metric_minus_random,0,0,0,0,0,1,0
dyadic_at_random,rV,-0.0785573,0.108816,0.0769448,-0.229369,0.0722544,0.504925,-0.721926
dyadic_at_metric,rV,-0.0785573,0.108816,0.0769448,-0.229369,0.0722544,0.504925,-0.721926
metric_at_directed,rV,0,0,0,0,0,1,0
metric_at_dyadic,rV,0,0,0,0,0,1,0
2x2_interaction_rV,rV_metric_minus_random,0,0,0,0,0,1,0
dyadic_at_random,pair_q_corr_post,0.113224,0.0162651,0.0115011,0.0906816,0.135766,0.504925,6.96117
dyadic_at_metric,pair_q_corr_post,0.113224,0.0162651,0.0115011,0.0906816,0.135766,0.504925,6.96117
