contrast,metric,mean_diff,sd,se,ci_lo,ci_hi,paired_signflip_p,d_z
dyadic_at_random,rA,-0.106978,0.130919,0.0654594,-0.235279,0.021322,0.250787,-0.817136
dyadic_at_metric,rA,-0.120382,0.133188,0.0665942,-0.250907,0.0101423,0.247438,-0.90385
metric_at_directed,rA,0.00689091,0.0256469,0.0128234,-0.018243,0.0320248,0.622369,0.268684
metric_at_dyadic,rA,-0.006513,0.0153389,0.00766944,-0.0215451,0.00851911,0.752362,-0.424607
2x2_interaction_rA,rA_metric_minus_random,-0.0134039,0.034239,0.0171195,-0.0469582,0.0201503,0.624869,-0.39148
dyadic_at_random,rV,-0.0808967,0.0904293,0.0452146,-0.169517,0.00772395,0.125444,-0.894586
dyadic_at_metric,rV,-0.0857095,0.0888843,0.0444422,-0.172816,0.00139715,0.247438,-0.964281
metric_at_directed,rV,-0.00138855,0.0150582,0.00752908,-0.0161455,0.0133685,1,-0.0922122
metric_at_dyadic,rV,-0.00620126,0.0120696,0.00603481,-0.0180295,0.00562697,0.494125,-0.513791
2x2_interaction_rV,rV_metric_minus_random,-0.00481271,0.0196085,0.00980426,-0.0240291,0.0144036,0.745113,-0.24544
dyadic_at_random,pair_q_corr_post,0.0443492,0.00869732,0.00434866,0.0358259,0.0528726,0.125444,5.09919
dyadic_at_metric,pair_q_corr_post,0.0475783,0.0120151,0.00600753,0.0358035,0.059353,0.125444,3.95989
