seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
101,random,directed,0.29296,0.157433,0.0739042,0.995276,0.773652,0.995166,0.772674,0.00570833,0.0025625,0.0126792,0.0481333,0.24986,0.00760833,0.777343,0.0251812,14819110635527234588
202,random,directed,0.634156,0.508645,0.820106,0.993819,0.761341,0.993662,0.759379,0.0618167,0.00238333,0.0122792,0.0473667,0.249565,0.00754583,0.778496,0.0233233,11795106409235038746
303,random,directed,0.731824,0.484325,0.511887,0.992851,0.697506,0.992734,0.695601,0.0568583,0.0025125,0.0123125,0.0478625,0.249759,0.00739167,0.779543,0.023797,6968920152573143286
404,random,directed,0.482017,0.33662,0.311483,0.996363,0.777187,0.996321,0.776218,0.0061375,0.0024375,0.01245,0.048475,0.250339,0.00769167,0.778929,0.0222187,11670546259098904358
101,random,dyadic,0.305368,0.154924,0.0764526,0.998316,0.827677,0.998353,0.827408,0.00320833,0.00254167,0.0125875,0.0485,0.24986,0.00760833,0.950414,0.0103463,14819110635527234588
202,random,dyadic,0.620339,0.499773,1.02453,0.997906,0.803557,0.997931,0.803734,0.0356333,0.0022875,0.0123042,0.04835,0.249565,0.00754583,0.949749,0.0106988,11795106409235038746
303,random,dyadic,0.57288,0.358949,0.504609,0.997607,0.740722,0.997658,0.740461,0.0299208,0.00246667,0.012425,0.0492125,0.249759,0.00739167,0.951516,0.0104203,6968920152573143286
404,random,dyadic,0.214456,0.14979,0.292887,0.998777,0.810069,0.998812,0.809666,0.00333333,0.002425,0.0124458,0.0492375,0.250339,0.00769167,0.9499,0.0105207,11670546259098904358
101,metric,directed,0.319718,0.175058,0.0764526,0.995403,0.780533,0.995331,0.779988,0.0065625,0.495008,0.965904,0.996667,0.00250035,0.0123625,0.00501253,0,16846447221567136677
202,metric,directed,0.608404,0.496039,0.803271,0.993888,0.739705,0.993793,0.738658,0.0618333,0.512062,0.964296,0.996667,0.00250037,0.0102583,0.00501253,0,3491927007272204009
303,metric,directed,0.730415,0.470025,0.528869,0.992341,0.696155,0.992275,0.694849,0.0585875,0.497979,0.966429,0.996667,0.00250017,0.005,0.00501253,0,7495267224327019848
404,metric,directed,0.509984,0.340346,0.299861,0.996385,0.775912,0.996372,0.775422,0.00653333,0.489158,0.968187,0.996667,0.00250331,0.00739583,0.00501253,0,11202729859990313140
101,metric,dyadic,0.276267,0.141875,0.0739042,0.998519,0.838499,0.998532,0.838374,0.00357917,0.486667,0.970833,0.998333,0.00250035,0.0123625,0.00501253,0,16846447221567136677
202,metric,dyadic,0.617314,0.503773,1.01491,0.998144,0.792347,0.998146,0.792771,0.0346583,0.530833,0.965,0.998333,0.00250037,0.0102583,0.00501253,0,3491927007272204009
303,metric,dyadic,0.575178,0.339229,0.492479,0.997775,0.741927,0.997798,0.741605,0.0304125,0.505,0.965833,0.998333,0.00250017,0.005,0.00501253,0,7495267224327019848
404,metric,dyadic,0.218231,0.153752,0.290563,0.998936,0.80687,0.998955,0.806481,0.0032875,0.488333,0.97,0.998333,0.00250331,0.00739583,0.00501253,0,11202729859990313140
