contrast,metric,mean_diff,sd,se,ci_lo,ci_hi,paired_signflip_p,d_z
dyadic_at_random,rA,-0.0686988,0.16357,0.0218579,-0.11154,-0.0258573,0.00289986,-0.419997
dyadic_at_metric,rA,-0.0652202,0.188166,0.0251448,-0.114504,-0.0159364,0.0116994,-0.346609
metric_at_directed,rA,-0.00304904,0.0626507,0.00837205,-0.0194583,0.0133602,0.878156,-0.0486673
metric_at_dyadic,rA,0.000429546,0.00632164,0.000844765,-0.00122619,0.00208529,0.635818,0.0679484
2x2_interaction_rA,rA_metric_minus_random,0.00347858,0.064525,0.00862252,-0.0134215,0.0203787,0.819109,0.0539106
dyadic_at_random,rV,-0.0471141,0.106386,0.0142165,-0.0749784,-0.0192497,0.00179991,-0.442858
dyadic_at_metric,rV,-0.0429527,0.123445,0.0164961,-0.075285,-0.0106204,0.0112494,-0.347949
metric_at_directed,rV,-0.00430783,0.0457503,0.00611365,-0.0162906,0.00767492,0.648618,-0.0941594
metric_at_dyadic,rV,-0.000146491,0.00389484,0.00052047,-0.00116661,0.00087363,0.781311,-0.0376115
2x2_interaction_rV,rV_metric_minus_random,0.00416133,0.0463526,0.00619413,-0.00797916,0.0163018,0.660217,0.0897756
dyadic_at_random,pair_q_corr_post,0.0104417,0.0204788,0.00273659,0.00507803,0.0158055,0.000249988,0.509882
dyadic_at_metric,pair_q_corr_post,0.00961202,0.0325317,0.00434723,0.00109145,0.0181326,0.0263987,0.295466
