seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
101,random,directed,0.568893,0.411271,0.463216,0.99745,0.715246,0.997413,0.714533,0.0170183,0.0169908,0.000248292,0.00124579,0.00499313,0.249939,0.000751167,0.776964,0.00745766,15088318594308599739
202,random,directed,0.617695,0.408194,0.117295,0.998014,0.681194,0.997994,0.680384,0.0153072,0.0152846,0.00025025,0.00126121,0.00498137,0.250013,0.000755625,0.776921,0.00756327,4914822966185049061
303,random,directed,0.334358,0.298345,0.458724,0.996029,0.717977,0.995988,0.717277,0.0223032,0.0222555,0.000257208,0.00126721,0.00501758,0.249988,0.000755875,0.777128,0.00737308,4592148954548078428
404,random,directed,0.611926,0.397755,0.292363,0.997491,0.741884,0.997458,0.741196,0.0100012,0.00997208,0.000246917,0.00124263,0.00497792,0.250017,0.000751167,0.776937,0.00753053,3352798620045422019
505,random,directed,0.613256,0.410901,0.326821,0.997952,0.693245,0.997931,0.692636,0.0141587,0.014136,0.000249833,0.00124642,0.00497342,0.250075,0.000749875,0.776984,0.00755014,4759851087943297059
606,random,directed,0.567761,0.384444,0.277663,0.996803,0.712884,0.996769,0.712199,0.010555,0.0105261,0.000245375,0.00124925,0.00497938,0.250033,0.000751417,0.77707,0.00749838,7977712089098221410
707,random,directed,0.605075,0.405199,0.377366,0.996666,0.745551,0.996631,0.74484,0.0180415,0.0180086,0.000251625,0.00124433,0.00500767,0.250064,0.000753083,0.7769,0.00757266,6626978477444108832
808,random,directed,0.0543149,0.057648,0.218543,0.996884,0.714027,0.996848,0.713348,0.013738,0.0137063,0.000253,0.00125704,0.00498008,0.249972,0.00076575,0.777084,0.00741391,8938853467923338380
909,random,directed,0.639026,0.464923,0.455796,0.996563,0.733018,0.996524,0.732315,0.0162937,0.016252,0.0002505,0.00125346,0.00497383,0.250069,0.000752875,0.776947,0.00752852,7523379821232620433
1010,random,directed,0.585342,0.391427,0.256855,0.997492,0.748767,0.997467,0.747942,0.00998771,0.00996033,0.000249208,0.00125512,0.00500408,0.250009,0.000754333,0.776965,0.00743481,6095443981521357002
1111,random,directed,0.566545,0.451032,0.238102,0.997534,0.0538,0.997509,0.0537764,0.0101167,0.010092,0.000253292,0.00124229,0.00496321,0.249993,0.000757042,0.776964,0.00752269,1709130890311390258
1212,random,directed,0.453934,0.357849,0.329146,0.997664,0.677975,0.997629,0.677178,0.0182512,0.0182107,0.000253875,0.00125404,0.00497179,0.250046,0.000759,0.777098,0.00742463,6566218846149515846
1313,random,directed,0.0911395,0.0720055,0.167389,0.99771,0.71744,0.997676,0.716773,0.00587154,0.00584687,0.000246958,0.00123329,0.00495179,0.250017,0.000740667,0.776967,0.00755931,5265459889430765273
1414,random,directed,0.0911465,0.0525631,0.133543,0.998472,0.738583,0.998455,0.737877,0.00721279,0.007194,0.000253708,0.00125592,0.00501025,0.250002,0.000749542,0.776885,0.00760257,16757399655768377468
1515,random,directed,0.150756,0.119377,0.181665,0.996898,0.681211,0.996863,0.680445,0.0196943,0.0196607,0.000249792,0.00123833,0.00497154,0.250014,0.000747333,0.777042,0.0076005,15553783089522774953
1616,random,directed,0.550746,0.420698,0.341691,0.995944,0.719158,0.995903,0.718462,0.0154132,0.0153783,0.000248542,0.00124025,0.00495483,0.249901,0.000745375,0.776983,0.00735584,2925567432917206370
1717,random,directed,0.278965,0.180038,0.27598,0.997475,0.736138,0.997443,0.735461,0.0133073,0.0132833,0.000245875,0.00124546,0.00497533,0.249971,0.000754083,0.776863,0.007516,5315331658029473431
1818,random,directed,0.230526,0.1681,0.258216,0.996854,0.727412,0.996816,0.726757,0.0106138,0.0105791,0.00024875,0.00124833,0.00498092,0.250039,0.000752333,0.776984,0.0074645,8503298889816827995
1919,random,directed,0.666177,0.451103,0.168912,0.996999,0.719279,0.996965,0.718618,0.00949738,0.00947008,0.000247792,0.00125738,0.00498883,0.25,0.000742542,0.776932,0.00757751,2554226534663858501
2020,random,directed,0.058793,0.0387218,0.390387,0.995164,0.758432,0.995112,0.757735,0.0185205,0.0184763,0.000247333,0.00124304,0.0049755,0.250027,0.000748833,0.777025,0.00761971,412551867755059251
