claim,reported,reconstructed,abs_residual,status
random directed rA_mean,0.358031,0.358031,0.0,PASS
random dyadic rA_mean,0.289332,0.289332,0.0,PASS
random directed rV_mean,0.258118,0.258118,0.0,PASS
random dyadic rV_mean,0.211004,0.211004,0.0,PASS
metric directed rA_mean,0.354982,0.354982,0.0,PASS
metric dyadic rA_mean,0.289762,0.289762,0.0,PASS
metric directed rV_mean,0.25381,0.25381,0.0,PASS
metric dyadic rV_mean,0.210857,0.210857,0.0,PASS
R-D rA,0.358031,0.358031,0.0,PASS
R-Y rA,0.289332,0.289332,0.0,PASS
M-D rA,0.354982,0.354982,0.0,PASS
M-Y rA,0.289762,0.289762,0.0,PASS
R-D rV,0.258118,0.258118,0.0,PASS
R-Y rV,0.211004,0.211004,0.0,PASS
M-D rV,0.25381,0.25381,0.0,PASS
M-Y rV,0.210857,0.210857,0.0,PASS
2x2 rA interaction,0.00347858,0.0034786553571428567,7.535714285650946e-08,PASS
2x2 rV interaction,0.00416133,0.004161258928571428,7.107142857218363e-08,PASS
random immediate repeat benchmark,0.00025006251562890725,0.00025006251562890725,0.0,PASS
random measured repeat,0.000250311,0.000250311,0.0,PASS
